codigo_ibge,municipio,latitude,longitude,bioma_predominante,corede,regiao_funcional
4314787,Ponte Preta,-27.6587,-52.4848,Mata Atlântica,Norte,RF9
4314779,Pontão,-28.0585,-52.6791,Pampa,Produção,RF9
4314902,Porto Alegre,-30.0318,-51.2065,Pampa,Metropolitano Delta do Jacuí,RF1
4315008,Porto Lucena,-27.8569,-55.01,Mata Atlântica,Fronteira Noroeste,RF7
4315057,Porto Mauá,-27.5796,-54.6657,Mata Atlântica,Fronteira Noroeste,RF7
4315073,Porto Vera Cruz,-27.7405,-54.8994,Mata Atlântica,Fronteira Noroeste,RF7
4315107,Porto Xavier,-27.9082,-55.1379,Mata Atlântica,Missões,RF7
4314803,Portão,-29.7015,-51.2429,Mata Atlântica,Vale do Rio dos Sinos,RF1
4315131,Pouso Novo,-29.1738,-52.2136,Mata Atlântica,Vale do Taquari,RF2
4314753,Poço das Antas,-29.4481,-51.6719,Mata Atlântica,Vale do Taquari,RF2
4315149,Presidente Lucena,-29.5175,-51.1798,Mata Atlântica,Paranhana Encosta da Serra,RF1
4315156,Progresso,-29.2441,-52.3197,Mata Atlântica,Vale do Taquari,RF2
4315172,Protásio Alves,-28.7572,-51.4757,Mata Atlântica,Serra,RF3
4315206,Putinga,-29.0045,-52.1569,Mata Atlântica,Vale do Taquari,RF2
4315305,Quaraí,-30.384,-56.4483,Pampa,Fronteira Oeste,RF6
4315313,Quatro Irmãos,-27.8257,-52.4424,Pampa,Norte,RF9
4315321,Quevedos,-29.3504,-54.0789,Pampa,Central,RF8
4315354,Quinze de Novembro,-28.7466,-53.1011,Mata Atlântica,Alto Jacuí,RF8
4315404,Redentora,-27.664,-53.6407,Mata Atlântica,Celeiro,RF7
4315453,Relvado,-29.1164,-52.0778,Mata Atlântica,Vale do Taquari,RF2
4315503,Restinga Seca,-29.8188,-53.3807,Pampa,Jacuí Centro,RF8
4315602,Rio Grande,-32.0349,-52.1071,Pampa,Sul,RF5
4315701,Rio Pardo,-29.988,-52.3711,Pampa,Vale do Rio Pardo,RF2
4315552,Rio dos Índios,-27.2973,-52.8417,Mata Atlântica,Médio Alto Uruguai,RF9
4315750,Riozinho,-29.639,-50.4488,Mata Atlântica,Paranhana Encosta da Serra,RF1
4315800,Roca Sales,-29.2884,-51.8658,Mata Atlântica,Vale do Taquari,RF2
4315909,Rodeio Bonito,-27.4742,-53.1706,Mata Atlântica,Médio Alto Uruguai,RF9
4315958,Rolador,-28.2566,-54.8186,Mata Atlântica,Missões,RF7
4316006,Rolante,-29.6462,-50.5819,Mata Atlântica,Paranhana Encosta da Serra,RF1
4316105,Ronda Alta,-27.7758,-52.8056,Pampa,Rio da Várzea,RF9
4316204,Rondinha,-27.8315,-52.9081,Mata Atlântica,Rio da Várzea,RF9
4316303,Roque Gonzales,-28.1297,-55.0266,Mata Atlântica,Missões,RF7
4316402,Rosário do Sul,-30.2515,-54.9221,Pampa,Fronteira Oeste,RF6
4316428,Sagrada Família,-27.7085,-53.1351,Mata Atlântica,Rio da Várzea,RF9
4316436,Saldanha Marinho,-28.3941,-53.097,Mata Atlântica,Alto Jacuí,RF8
